e_issn,journal_title,license,publisher
2541-3457,Mudarrisa: Jurnal Kajian Pendidikan Islam,CC BY,Institut Agama Islam Negeri (IAIN) Salatiga
2541-3635,Indonesian EFL Journal (IEFLJ),CC BY-NC-SA,Universitas Kuningan
2541-3643,English Review: Journal of English Education,CC BY-NC-ND,University of Kuningan and Association of Indonesian Scholars of English Education (AISEE)
2541-3945,Dunamis: Jurnal Teologi dan Pendidikan Kristiani (Dunamis),CC BY-SA,Sekolah Tinggi Teologi Intheos Surakarta
2541-4062,Jurnal Natural,CC BY,"Universitas Syiah Kuala, Faculty of Mathematics and Natural Science"
2541-4127,Islamiconomic: Jurnal Ekonomi Islam (IJEI),CC BY-NC-SA,Universitas Islam Negeri Sultan Maulana Hasanuddin Banten
2541-4208,Jurnal Biodjati,CC BY-NC-ND,UIN Sunan Gunung Djati
2541-4224,Briliant (Jurnal Riest dan Konseptual),CC BY-SA,Universitas Nahdlatul Ulama Blitar
2541-4321,Jurnal Theorems (The Original Research of Mathematics),CC BY,Program Studi Pendidikan Matematika Universitas Majalengka
2541-4399,Vision: Journal for Language and Foreign Language Learning (Vision Journal),CC BY-NC,"English Education Department, Faculty of Education and Teacher Training, Universitas Islam Negeri Walisongo Semarang"
2541-4429,JMSP (Jurnal Manajemen dan Supervisi Pendidikan),CC BY,Universitas Negeri Malang
2541-4453,Euclid (Jurnal Euclid),CC BY-SA,Universitas Swadaya Gunung Jati
2541-450X,Indigenous (Kognisi),CC BY,Muhammadiyah University Press
2541-4518,Emitor: Jurnal Teknik Elektro,CC BY,Muhammadiyah University Press
2541-4534,Profetika,CC BY,Muhammadiyah University Press
2541-4569,Jurnal Pendidikan Ilmu Sosial,CC BY,Muhammadiyah University Press
2541-4577,Media Mesin,CC BY,Muhammadiyah University Press
2541-4666,Economica: Jurnal Ekonomi Islam,CC BY-NC-SA,Universitas Islam Negeri (UIN) Walisongo Semarang
2541-4674,"MUST: Journal of Mathematics Education, Science and Technology (MUST)",CC BY-NC,UMSurabaya Publishing
2541-500X,Insaniyat: Journal of Islam and Humanities (Insaniyat),CC BY-NC-SA,Faculty of Adab and Humanities UIN Syarif Hidayatullah Jakarta
2541-5131,Journal of English Language Studies,CC BY,Universitas Sultan Ageng Tirtayasa
2541-5239,Jurnal Fourier,CC BY-NC-SA,Universitas Islam Negeri Sunan Kalijaga Yogyakarta
2541-5328,Jurnal Energi Dan Manufaktur (Energy and Manufactur Journal),CC BY,Universitas Udayana
2541-5395,Journal of Indonesian Applied Economics,CC BY-NC,University of Brawijaya
2541-5417,Refleksi Hukum (Jurnal Ilmu Hukum),CC BY,Universitas Kristen Satya Wacana
2541-5484,Jurnal Ilmiah Teknik Sipil,CC BY,Universitas Udayana
2541-5506,Jurnal Ekonomi & Studi Pembangunan,CC BY-SA,Universitas Muhammadiyah Yogyakarta
2541-5573,Islamic Economics Journal,CC BY-NC-SA,Universitas Darussalam Gontor
2541-5794,"JGEET: Journal of Geoscience, Engineering, Environment and Technology",CC BY-SA,UIR Press
2541-5832,Lontar Komputer,CC BY,"Udayana University, Institute for Research and Community Services"
2541-5859,Jurnal Pariwisata Pesona (Tourism Journal),CC BY-SA,Universitas Merdeka Malang
2541-5875,Animal Production: Indonesian Journal of Animal Production,CC BY-SA,"Universitas Jenderal Soedirman (UNSOED), Faculty of Animal Science"
2541-5883,Jurnal Pengabdian Kepada Masyarakat (Indonesian Journal of Community Engagement) (JPKM),CC BY-SA,Universitas Gadjah Mada
2541-5913,Jurnal Mercatoria,CC BY-NC,Universitas Medan Area
2541-593X,Jurnal Agrica,CC BY,Universitas Medan Area
2541-5948,Konselor,CC BY,Universitas Negeri Padang
2541-6111,Riset Akuntansi dan Keuangan Indonesia (Reaksi),CC BY-NC-SA,Muhammadiyah University Press
2541-6421,Jurnal Of English Language And Education (JELE),CC BY-SA,Universitas Mercu Buana Yogyakarta
2541-6464,Sriwijaya Law Review (SLRev),CC BY,Sriwijaya University
2541-6499,Al-Khwarizmi: Jurnal Pendidikan Matematika dan Ilmu Pengetahuan Alam (Al-Khwarizmi),CC BY-SA,Tadris Matematika IAIN Palopo
2541-6650,Jurnal Nomosleca (Nomosleca Journal),CC BY-SA,Universitas Merdeka Malang
2541-6677,Plantropica: Journal of Agricultural Science,CC BY-NC,"Department of Agronomy, Faculty of Agriculture  Universitas Brawijaya Journal"
2541-6979,JPAS (Journal of Public Administration Studies) (JPAS),CC BY-NC,University of Brawijaya
2541-7533,"Вестник Самарского университета: Аэрокосмическая техника, технологии и машиностроение (Vestnik of Samara University: Aerospace and Mechanical Engineering)",CC BY,Samara National Research University
2541-7541,Омский научный вестник (Omsk Scientific Bulletin),CC BY-NC-SA,"Omsk State Technical University, Federal State Budgetary Educational Institution of Higher Education"
2541-7843,Российский паразитологический журнал (Russian Journal of Parasitology),CC BY,Federal Scientific Centre VIEV
2541-7983,"Омский научный вестник: Серия ""Общество. История. Современность""",CC BY-NC-SA,"Omsk State Technical University, Federal State Budgetary Educational Institution of Higher Education"
2541-8017,"Неотложная медицинская помощь (Russian Sklifosovsky Journal of ""Emergency Medical Care"")",CC BY,"Sklifosovsky Research Institute for Emergency Medicine, Public Healthcare Institution of Moscow Healthcare Department"
2541-8564,Studia Litterarum (Литературные Исследования),CC BY,A.M. Gorky Institute of World Literature of the Russian Academy of Sciences
2541-8653,Вестник анестезиологии и реаниматологии (Messenger of Anesthesiology and Resuscitation),CC BY,New Terra Publishing House
2541-8785,"Известия Иркутского государственного университета: Серия ""Математика"" (The Bulletin of Irkutsk State University. Series Mathematics)",CC BY-NC,Irkutsk State University
2541-8807,Учёные записки Санкт-Петербургского государственного медицинского университета им. Акад. И.П. Павлова (The Scientific Notes of the I. P. Pavlov St. Petersburg State Medical University),CC BY,Academician I.P. Pavlov First St. Petersburg State Medical University
2541-8963,Поволжский экологический журнал (Povolzhskiy Journal of Ecology),CC BY,KMK Scientific Press Ltd.
2541-8971,Известия Саратовского университета. Новая серия: Серия Химия. Биология. Экология (Izvestiya of Saratov University: Chemistry. Biology. Ecology),CC BY,Saratov State University
2541-898X,Известия Саратовского университета. Новая серия. Серия Филология: Журналистика (Izvestiya of Saratov University. Philology: Journalism),CC BY,Saratov State University
2541-9005,Известия Саратовского университета. Новая серия. Серия Математика. Механика. Информатика (Izvestiya of Saratov University. Mathematics. Mechanics. Informatics),CC BY,Saratov State University
2541-9013,Известия Саратовского университета. Новая серия. Серия Акмеология образования: Психология развития (Izvestiya of Saratov University. Educational Acmeology. Developmental Psychology),CC BY,Saratov State University
2541-9099,Vestnik MGIMO-Universiteta (MGIMO Review of International Relations),CC BY,MGIMO University Press
2541-9129,Безопасность техногенных и природных систем (Safety of Technogenic and Natural System),CC BY,Don State Technical University
2541-9145,Вестник Кемеровского государственного университета. Серия: гуманитарные и общественные науки (Bulletin of Kemerovo State University. Series: Humanities and Social Sciences),CC BY,Kemerovo State University
2541-9404,Записки Горного института (Journal of Mining Institute),CC BY,Saint-Petersburg Mining University
2541-9544,Кубанский научный медицинский вестник (Kuban Scientific Medical Bulletin),CC BY,Ministry of Healthcare of the Russian Federation. “Kuban State Medical University”
2541-9633,Международная аналитика (Journal of International Analytics),CC BY,MGIMO University Press
2541-982X,Финно-угорский мир (Finno-Ugric World),CC BY,National Research Mordova State University; MRSU
2541-9897,Инновационная медицина Кубани (Innovative Medicine of Kuban),CC BY-NC,"Scientific Research Institute, Ochapovsky Regional Clinical Hospital no. 1"
2542-0038,Гуманитарный вектор (Humanitarian Vector),CC BY,Transbaikal State University
2542-0119,Научный вестник МГТУ ГА (Civil Aviation High Technologies),CC BY,Moscow State Technical University of Civil Aviation
2542-0577,"Мир Hауки: Социология, Филология, Культурология (World of Science. Series: Sociology, Philology, Cultural Studies)",CC BY,"«Publishing company «World of science», LLC"
2542-0909,Трансплантология (Москва),CC BY,N.V. Sklifosovsky Research Institute for Emergency Medicine of Moscow Healthcare Department
2542-0933,Travmatologiâ i Ortopediâ Rossii (Traumatology and Orthopedics of Russia),CC BY,Vreden Russian Research Institute of Traumatology and Orthopedics
2542-095X,Вестник Дагестанского государственного технического университета: Технические науки (Herald of Dagestan State Technical University),CC BY,Dagestan State Technical University
2542-0968,Мать и дитя в Кузбассе (Mother and Baby in Kuzbass),CC BY,The Publishing House Medicine and Enlightenment
2542-1190,"Вестник Кемеровского государственного университета. Серия: политические, социологические и экономические науки (Bulletin of Kemerovo State University. Series: Political, Sociological and Economic Sciences)",CC BY,Kemerovo State University
2542-1204,Bulletin of RSMU (Bulletin of Russian State Medical University),CC BY,Pirogov Russian National Research Medical University
2542-131X,Гений oртопедии (Orthopaedic Genius),CC BY,Russian Ilizarov Scientific Center for Restorative Traumatology and Orthopaedics
2542-1506,Туберкулез и болезни лёгких (Tuberculosis and Lung Diseases),CC BY,New Terra Publishing House
2542-1565,"Geography, Environment, Sustainability",CC BY,Lomonosov Moscow State University
2542-1905,Известия высших учебных заведений: Прикладная нелинейная динамика (Izvestiya VUZ: Applied Nonlinear Dynamics),CC BY,Saratov State University
2542-1913,Известия Саратовского университета. Новая серия. Серия: История. Международные отношения (Izvestiya of Saratov University: History. International Relations),CC BY,Saratov State University
2542-193X,Известия Саратовского университета. Новая серия Серия: Физика (Izvestiya of Saratov University. Physics),CC BY,Saratov State University
2542-1948,Известия Саратовского университета: Новая серия. Серия Философия. Психология. Педагогика (Izvestiya of Saratov University: Philosophy. Psychology. Pedagogy),CC BY,Saratov State University
2542-1956,Известия Саратовского университета. Новая серия: Серия «Экономика. Управление. Право» (Izvestiya of Saratov University: Economics. Management. Law),CC BY,Saratov State University
2542-2170,Consilium Medicum,CC BY,"ZAO ""Consilium Medicum"""
2542-2189,Системные гипертензии (Systemic Hypertension),CC BY,IP Morozov P.V.
2542-2421,Литературный факт (Literary Fact),CC BY,Russian Academy of Sciences. A.M. Gorky Institute of World Literature
2542-243X,Литература двух Америк (Literature of the Americas),CC BY,"Russian Academy of Sciences, A.M. Gorky Institute of World Literature"
2542-2618,Journal of Lumbini Medical College,CC BY,Lumbini Medical College
2542-2804,Birat Journal of Health Sciences (BJHS),CC BY,Birat Medical College and Teaching Hospital
2542-2987,Revista Scientific,CC BY-NC-SA,Instituto Internacional de Investigación y Desarrollo Tecnológico Educativo
2542-3088,Revista Arbitrada Interdisciplinaria Koinonía,CC BY-NC-SA,Fundación Koinonia
2542-3142,Revista Gestión I+D,CC BY-NC-ND,Universidad Central de Venezuela
2542-3177,Dissertare: Revista de Investigación en Ciencias Sociales (Dissertare),CC BY-NC-SA,Universidad Centroccidental Lisandro Alvarado
2542-3185,Cuestiones Políticas,CC BY-NC-SA,University of Zulia
2542-3371,Iustitia Socialis (Revista Arbitrada en Ciencias Jurídicas),CC BY-NC-SA,Fundación Koinonía
2542-4548,"Mayo Clinic Proceedings: Innovations, Quality & Outcomes","CC BY, CC BY-NC-ND",Elsevier
2542-4653,SciPost Physics,CC BY,SciPost
2542-4823,Journal of Alzheimer's Disease Reports,"CC BY, CC BY-NC",IOS Press
2542-4939,Journal of Medical Sciences (Yīxué yánjiū zázhì),CC BY-NC-SA,Wolters Kluwer Medknow Publications
2542-5048,Advanced Industrial and Engineering Polymer Research,"CC BY, CC BY-NC-ND","KeAi Communications Co., Ltd."
2542-5196,The Lancet Planetary Health,"CC BY, CC BY-NC-ND",Elsevier
2542-5528,Clinical Dermatology Review,CC BY-NC-SA,Wolters Kluwer Medknow Publications
2542-5641,Chinese Medical Journal (CMJ),CC BY-NC-ND,Wolters Kluwer
2542-5684,Liver Research,"CC BY, CC BY-NC-ND","KeAi Communications Co., Ltd."
2542-6222,Indian Journal of Health Sciences and Biomedical Research KLEU,CC BY-NC-SA,Wolters Kluwer Medknow Publications
2542-7083,The Arab Journal of Interventional Radiology,"CC BY, CC BY-NC-ND",Thieme Medical and Scientific Publishers Pvt. Ltd.
2542-7849,Saudi Journal of Oral Sciences,CC BY-NC-SA,Wolters Kluwer Medknow Publications
2543-0831,Endodontology,CC BY-NC-SA,Wolters Kluwer Medknow Publications
2543-1064,Advances in Biomarker Sciences and Technology (ABST),"CC BY, CC BY-NC-ND",KeAi Communications Co. Ltd.
2543-1471,Journal of the Indian Academy of Echocardiography & Cardiovascular Imaging,CC BY-NC-SA,Wolters Kluwer Medknow Publications
2543-1587,Early Modern Low Countries (EMLC),"CC BY, CC BY-NC",openjournals.nl
2543-1684,MAB (Maandblad voor accountancy en bedrijfseconomie),CC BY-NC-ND,Pensoft
2543-1897,Journal of Mental Health and Human Behaviour,CC BY-NC-SA,Wolters Kluwer Medknow Publications
2543-232X,Journal of the European Honors Council (JEHC),CC BY,Hanze UAS
2543-2702,Iraqi Journal of Hematology,CC BY-NC-SA,Wolters Kluwer Medknow Publications
2543-3474,AKCE International Journal of Graphs and Combinatorics,"CC BY, CC BY-NC",Taylor & Francis Group
2543-3717,International Journal of Energetica,CC BY-NC,SCMA
2543-408X,Zoon Politikon,CC BY-SA,Collegium Civitas
2543-411X,Zeszyty Naukowe Wyższej Szkoły Finansów i Prawa w Bielsku-Białej (Scientific Journal of Bielsko-Biala School of Finance and Law),CC BY-NC,University of Applied Sciences in Bielsko-Biała
2543-4292,Power Electronics and Drives,CC BY-NC-ND,Sciendo
2543-4357,Lingua Legis,CC BY-NC-ND,University of Warsaw
2543-4934,Przedsiębiorczość Międzynarodowa (International Entrepreneurship),CC BY-ND,Cracow University of Economics
2543-4950,Journal of Sustainable Mining,CC BY,Central Mining Institute (Główny Instytut Górnictwa)
2543-5361,International Journal of Management and Economics,CC BY-NC-ND,Sciendo
2543-5574,Marketing i Zarządzanie (Marketing and Management),CC BY-SA,Wydawnictwo Naukowe Uniwersytetu Szczecińskiego
2543-5981,Polish Journal of English Studies (PJES),CC BY-NC-ND,Polish Association for the Study of English
2543-6031,Advances in Respiratory Medicine,CC BY,MDPI AG
2543-6155,International Journal of Research in E-Learning (IJREL),CC BY-SA,University of Silesia Press
2543-6309,Journal of Theoretical and Applied Mechanics,CC BY-NC,Polish Society of Theoretical and Applied Mechanics
2543-6368,Blood Science,CC BY-NC-ND,Wolters Kluwer Health
2543-6376,Open Astronomy,CC BY,De Gruyter
2543-6422,Ochrona Dziedzictwa Kulturowego (Protection of Cultural Heritage),CC BY,Lublin University of Technology
2543-683X,Journal of Data and Information Science,"CC BY, CC BY-SA, CC BY-ND, CC BY-NC, CC BY-NC-SA, CC BY-NC-ND",Sciendo
2543-7011,Czasopismo Naukowe Instytutu Studiów Kobiecych (The Scientific Journal of the Institute for Women's Studies),CC BY-SA,Wydawnictwo Humanica
2543-702X,Studia Historiae Scientiarum,CC BY,Polish Academy of Arts and Sciences
2543-7496,Przegląd Naukowy Inżynieria i Kształtowanie Środowiska (Scientific Review  Engineering and Environmental Sciences),CC BY-NC,Warsaw University of Life Sciences
2543-7844,Półrocznik Językoznawczy Tertium (Tertium Linguistic Journal),CC BY-NC-ND,Cracow Tertium Society for the Promotion of Language Studies
2543-8204,Periodyk Naukowy Akademii Polonijnej (Scientific Journal of Polonia University),CC BY,"""Educator"" Publishing House of Polonia University"
2543-8409,Multidisciplinary Journal of School Education,CC BY-ND,Ignatianum University Press
2543-8476,Wiadomości Statystyczne (The Polish Statistician),CC BY-SA,Statistics Poland
2543-859X,Prace Komisji Geografii Komunikacji PTG (Transport Geography Papers of Polish Geographical Society),CC BY-NC-ND,Bernardinum
2543-8875,Open Philosophy,CC BY,De Gruyter
2543-8883,Open Psychology,CC BY,De Gruyter
2543-8980,New Horizons in English Studies (NHES),CC BY,"Maria Curie-Skłodowska University, Lublin, Poland"
2543-912X,Engineering Management in Production and Services,CC BY-NC-ND,Sciendo
2543-9170,"Ruch Prawniczy, Ekonomiczny i Socjologiczny (Journal of Law, Economics and Sociology)",CC BY,"Adam Mickiewicz University, Poznan"
2543-9251,Data and Information Management,"CC BY, CC BY-NC-ND",Elsevier
2543-9820,Geopolitics under Globalization,CC BY,"LLC ""CPC ""Business Perspectives"""
2544-0179,Labor et Educatio,CC BY-NC-ND,Institute of Social Affairs of the Pedagogical University of Cracow
2544-0640,"Polityki Europejskie, Finanse i Marketing",CC BY-NC,Wydawnictwo SGGW - Warsaw University od Life Sciences Press
2544-0659,Zeszyty Naukowe Szkoły Głównej Gospodarstwa Wiejskiego w Warszawie. Problemy Rolnictwa Światowego (Scientific Journal Warsaw University of Life Sciences-SGGW),CC BY-NC,Warsaw University of Life Sciences Press
2544-073X,Studia Semiotyczne,CC BY,Polskie Towarzystwo Semiotyczne / The Polish Semiotic Society
2544-0764,Journal of Computer Sciences Institute,CC BY,Lublin University of Technology
2544-0799,Ask (Ask: Research and Methods),CC BY-NC-ND,The Ohio State University Libraries
2544-0845,Teoria Polityki,CC BY,Jagiellonian University Press
2544-090X,Catallaxy,CC BY,Institute of Economic Research
2544-1221,Konwersatorium Wiedzy o Mieście (Urban Knowledge Conversatory),CC BY-NC-ND,Lodz University Press
2544-1361,European Journal of Clinical and Experimental Medicine,CC BY,Publishing Office of the University of Rzeszów
2544-1450,Accounting and Financial Control,CC BY,"LLC ""CPC ""Business Perspectives"""
2544-1620,Medical Science Pulse,CC BY-NC-SA,Opole Medical School
2544-1655,Przegląd Geofizyczny (Review of Geophysics),CC BY,Polish Society of Geophysics
2544-1701,Język. Religia. Tożsamość (Language. Religion. Identity),CC BY-NC,Akademia im. Jakuba z Paradyża
2544-2139,Relacje Międzykulturowe (Intercultural Relations),CC BY-NC-ND,Ksiegarnia Akademicka Publishing
2544-2872,Journal of Folklore and Popular Culture (Literatura Ludowa),CC BY-ND,Polish Ethnological Society
2544-3003,Studia z Prawa Wyznaniowego (Studies in Law on Religion),CC BY,The John Paul II Catholic University of Lublin
2544-302X,Eidos. A Journal for Philosophy of Culture,CC BY-NC-ND,University of Warsaw
2544-3186,"Er(r)go (Er(r)go : teoria, literatura, kultura)",CC BY-SA,University of Silesia Press
2544-3232,Research Journal of the University of Gdańsk: Transport Economics and Logistics (Zeszyty Naukowe Uniwersytetu Gdańskiego: Ekonomika Transportu i Logistyka),CC BY-NC,Gdansk University Press
2544-3275,Budownictwo i Architektura (Civil Engineering and Architecture),CC BY,Lublin University of Technology
2544-4093,Wortfolge (Szyk Słów),CC BY-SA,Wydawnictwo Uniwersytetu Śląskiego
2544-4379,Studia Antiquitatis et Medii Aevi Incohantis,CC BY-ND,"Instytut Historyczny, Uniwersytet Wrocławski"
2544-4395,Physiotherapy Quarterly (Fizjoterapia),CC BY-NC-ND,Termedia Publishing House
2544-4646,Polish Journal of Microbiology,CC BY-NC-ND,Sciendo
2544-4654,Studia z Zakresu Prawa Pracy i Polityki Społecznej (Studies on Labour Law and Social Policy),CC BY,Jagiellonian University
2544-5502,Society Register,CC BY-NC,Sciendo
2544-5685,Archiwa - Kancelarie - Zbiory (Archives - Chanceries - Collections),CC BY-ND,Nicolaus Copernicus University in Toruń
2544-5804,Kościół i Prawo,CC BY-NC-ND,Towarzystwo Naukowe Katolickiego Uniwersytetu Lubelskiego Jana Pawła II
2544-6037,Przegląd Komunikacyjny (Transportation Overview),CC BY-SA,SITK RP
2544-7297,Computational and Mathematical Biophysics,CC BY,De Gruyter
2544-7831,Open Education Studies,CC BY,De Gruyter
2544-798X,Agronomy Science,"CC BY, CC BY-NC-ND",University of Life Sciences in Lublin - Publishing House
2544-8013,Annales Horticulturae,CC BY-NC-ND,University of Life Sciences in Lublin - Publishing House
2544-8242,The Polish Journal of Aesthetics,CC BY,Institute of Philosophy of the Jagiellonian University
2544-8552,Farmacja Polska,CC BY-NC,Polish Pharmaceutical Society
2544-8730,Z Badań nad Książką i Księgozbiorami Historycznymi (Studies into the History of the Book and Book Collections),CC BY-NC,Uniwersytet Warszaw
2544-8951,Open Veterinary Science,CC BY,De Gruyter
2544-8994,Frontiers of Nursing,CC BY,Sciendo
2544-9117,Health Promotion & Physical Activity (Health Promotion and Physical Activity),CC BY-SA,"University of Applied Sciences in Tarnow, Poland"
2544-9303,Res Facta Nova,CC BY-NC-ND,Polskie Wydawnictwo Muzyczne (PWM)
2544-963X,Budownictwo o Zoptymalizowanym Potencjale Energetycznym (Construction of Optimized Energy Potential),CC BY-NC-ND,The Publishing Office of Czestochowa University of Technology
2544-9737,Eastern European Journal of Transnational Relations,CC BY,"University of Bialystok, Faculty of Law"
2544-9826,Open Health,CC BY,De Gruyter
2544-994X,Security and Defence Quarterly,CC BY-NC-ND,Wydawnictwo Akademii Sztuki Wojennej
2545-0115,Yearbook of Antitrust and Regulatory Studies,CC BY,University of Warsaw
2545-0212,Slavia Antiqua (Slavia Antiqua: Rocznik Poświęcony Starożytnościom Słowiańskim),CC BY-ND,Poznańskie Towarzystwo Przyjaciół Nauk
2545-0271,Ius Novum,CC BY-SA,Lazarski University Publishing House
2545-0468,Socjolingwistyka,CC BY-ND,"Institute of Polish Language, Polish Academy of Sciences"
2545-059X,Fisheries & Aquatic Life,CC BY-NC-ND,Sciendo
2545-0719,Scientific Journal of the Military University of Land Forces (SJMULF),CC BY,Military University of Land Forces
2545-0980,Estudios Hispánicos,CC BY,Wydawnictwo Uniwersytetu Wrocławskiego
2545-0999,Annales Universitatis Paedagogicae Cracoviensis Studia Naturae (AUPC Studia Naturae),CC BY-NC-ND,Wydawnictwo Naukowe Uniwersytetu Pedagogicznego
2545-1359,Palliative Medicine in Practice,CC BY-NC-ND,Via Medica
2545-1405,Acta Scientiarum Polonorum: Hortorum Cultus,CC BY,University of Life Sciences in Lublin - Publishing House
2545-1669,Stylistyka (Stylistics),CC BY-NC-SA,Uniwersytet Opolski
2545-1936,Filozofia i Nauka (Philosophy and Science: Philosophical and Interdisciplinary Studies),CC BY-NC-ND,Polish Academy of Sciences
2545-2533,Critical Care Innovations,CC BY-NC,Towarzystwo Pomocy Doraźnej
2545-2819,Nordic Concrete Research,CC BY-NC-ND,Sciendo
2545-2835,Transactions on Aerospace Research,CC BY-NC-ND,Sciendo
2545-3149,Postępy Mikrobiologii (Advancements of Microbiology),CC BY-NC-ND,Sciendo
2545-3181,Acta Iuris Stetinensis (Acta Iuris Stetinensis (Roczniki Prawnicze)),CC BY-SA,Wydawnictwo Naukowe Uniwersytetu Szczecińskiego
2545-3483,European Cooperation (Współpraca Europejska),CC BY-NC-ND,Consilium LLC
2545-3491,"Archiwa, Biblioteki i Muzea Kościelne",CC BY-NC-SA,The John Paul II Catholic University of Lublin
2545-3661,Zeszyty Naukowe PTE w Zielonej Górze (Scientific Journal of the Polish Economic Society in Zielona Góra),CC BY,Polskie Towarzystwo Ekonomiczne w Zielonej Górze
2545-384X,Review of European and Comparative Law,CC BY,The John Paul II Catholic University of Lublin
2545-3866,Argumenta Oeconomica Cracoviensia,CC BY-NC-ND,Cracow University of Economics Press
2545-3971,Neofilolog,CC BY-ND,Polskie Towarzystwo Neofilologiczne (Polish Association of Modern Languages)
2545-4773,Journal of Contemporary Philology (Современа филологија),CC BY-ND,"Ss. Cyril and Methodius University in Skopje, Blaže Koneski Faculty of Philology"
2545-5818,"Arid Zone Journal of Engineering, Technology and Environment (AZOJETE)",CC BY-NC-ND,University of Maiduguri
2545-6199,"Realidad, Tendencias y Desafíos en Turismo",CC BY-NC-SA,Universidad Nacional del Comahue
2545-6237,Revista de Estudios Marítimos y Sociales,CC BY-NC-SA,GESMar
2545-627X,Calamus,CC BY-NC-SA,Sociedad Argentina de Estudios Medievales
2545-6377,Revista del Museo de La Plata,CC BY-NC-SA,Universidad Nacional de La Plata
2545-6393,(En)clave Comahue ((En)clave Comahue: Revista Patagónica de Estudios Sociales),CC BY-NC-SA,Universidad Nacional del Comahue
2545-6504,Zona Franca,CC BY-NC-ND,Centro de Estudios Interdisciplinarios de las Mujeres
2545-6881,Cuestión Urbana,CC BY-NC-SA,Universidad de Buenos Aires
2545-7055,Investigaciones y Ensayos,CC BY-NC-SA,Academia Nacional de la Historia de la Republica Argentina
2545-7284,Descentrada (Revista Interdisciplinaria de Feminismos y Género),CC BY-NC-SA,Centro Interdisciplinario de Investigaciones en Género (CInIG)
2545-7888,Armiliar,CC BY-NC-SA,"Universidad Nacional de La Plata, Facultad de Bellas Artes"
2545-8299,Anuario (Anuario del Centro de Estudios Económicos de la Empresa y el Desarrollo),CC BY-NC,Universidad de Buenos Aires. Facultad de Ciencias Económicas. Centro de Estudios Económicos de la Empresa y el Desarrollo
2545-8302,Revista Methodo,CC BY-NC-SA,Universidad Católica de Córdoba
2545-8329,Costos y Gestión,CC BY-NC,Instituto Argentino de Profesores Universitarios de Costos (IAPUCo)
2545-8566,Perspectivas de las Ciencias Económicas y Jurídicas (Revista Perspectivas),CC BY-NC-SA,Universidad Nacional de La Pampa
2545-8701,Antigua Matanza,CC BY-NC-SA,"Universidad Nacional de La Matanza, Secretaría de Extensión Universitaria, Junta de Estudios Históricos de la Matanza"
2545-8736,Confabulaciones (Revista de Literatura Argentina),CC BY-NC-SA,Instituto Interdisciplinario de Literaturas Argentina y Comparadas (IILAC)
2546-194X,Scientia (Scientia: The Research Journal of the College of Arts and Sciences),CC BY-ND,"College of Liberal Arts, San Beda College"
2547-7218,Orð og Tunga,CC BY-NC-SA,Árni Magnússon Institute for Icelandic Studies
2547-9415,Nazariyat: Journal for the History of Islamic Philosophy and Sciences (Nazariyat Journal),CC BY-NC-ND,Scientific Studies Association (ILEM)
2547-9431,Bagcilar Medical Bulletin (Bağcılar Tıp Bülteni),CC BY-NC-ND,Galenos Yayinevi
2547-9598,Kahramanmaraş Sütçü İmam Üniversitesi Tıp Fakültesi dergisi (The Journal of Kahramanmaraş Sütçü İmam University Faculty of Medicine),CC BY-NC-ND,Dean of Medical Faculty
2547-9679,Yakın Dönem Türkiye Araştırmaları (Recent Period Turkish studies),CC BY-NC,Istanbul University Press
2548-0154,Selçuklu Araştırmaları Dergisi (Journal of Seljuk Studies),CC BY-NC-ND,Selcuk University
2548-0170,Journal of Architectural Sciences and Applications (JASA),CC BY-NC-SA,Süleyman Demirel University
2548-0200,e-Journal of New Media (eJNM),CC BY-NC,Istanbul Aydın University
2548-0316,Current Thoracic Surgery (CTS),CC BY,Turkish Society of Thoracic Surgery
2548-0367,Selçuklu Medeniyeti Araştırmaları Dergisi (Journal of Seljuk Civilisational Studies),CC BY-NC,Necmettin Erbakan University Press
2548-0405,Sosyal Siyaset Konferansları Dergisi (Journal of Social Policy Conferences),CC BY-NC,Istanbul University Press
2548-0499,International Journal of Public Finance,CC BY-NC,International Public Finance Conference/Turkey
2548-0839,European Endodontic Journal,CC BY-NC,Kare Publishing
2548-1010,Sağlık Akademisi Kastamonu (Health Academy Kastamonu),CC BY-NC,TUBITAK
2548-1177,Selçuk Üniversitesi Hukuk Fakültesi Dergisi (Selcuk Law Review),CC BY-NC-ND,Selcuk University
2548-1207,Ege Üniversitesi Ziraat Fakültesi Dergisi (Journal of Agriculture Faculty of Ege University),CC BY-NC-ND,Ege University Press
2548-1371,Jurnal Al-Murabbi,CC BY-SA,Universitas Yudharta Pasuruan
2548-155X,AMAR (Andalas Management Review),CC BY-NC-SA,"The Management Institute, Faculty of Economics, Universitas Andalas"
2548-1592,JILS (Journal of Indonesian Legal Studies) (Journal of Indonesian Legal Studies),CC BY-SA,Universitas Negeri Semarang
2548-1657,Jurnal Konstitusi,CC BY-NC-SA,The Registrar and Secretariat General of the Constitutional Court of the Republic of Indonesia
2548-1800,Insight: Jurnal Ilmiah Psikologi (Insight),CC BY-SA,Universitas Mercu Buana Yogyakarta
2548-1819,Jurnal Mercumatika: Jurnal Penelitian Matematika dan Pendidikan Matematika,CC BY,Universitas Mercu Buana Yogyakarta
2548-1851,Jurnal Ilmu Ekonomi dan Pembangunan (JIEP),CC BY-NC-ND,Universitas Sebelas Maret
